time,SUSCEPTIBLE,INFECTED,EXPOSED,RECOVERED,DEAD
6147,16069,1,0,38,1
6148,16069,1,0,38,1
6149,16069,1,0,38,1
6150,16069,1,0,38,1
6151,16069,1,0,38,1
6152,16069,1,0,38,1
6153,16069,1,0,38,1
6154,16069,1,0,38,1
6155,16069,1,0,38,1
6156,16069,1,0,38,1
6157,16069,1,0,38,1
6158,16069,1,0,38,1
6159,16069,1,0,38,1
6160,16069,1,0,38,1
6161,16069,1,0,38,1
6162,16069,1,0,38,1
6163,16069,1,0,38,1
6164,16069,1,0,38,1
6165,16069,1,0,38,1
6166,16069,1,0,38,1
6167,16069,1,0,38,1
6168,16069,1,0,38,1
6169,16069,1,0,38,1
6170,16069,1,0,38,1
6171,16069,1,0,38,1
6172,16069,1,0,38,1
6173,16069,1,0,38,1
6174,16069,1,0,38,1
6175,16069,1,0,38,1
6176,16069,1,0,38,1
6177,16069,1,0,38,1
6178,16069,1,0,38,1
6179,16069,1,0,38,1
6180,16069,1,0,38,1
6181,16069,1,0,38,1
6182,16069,1,0,38,1
6183,16069,1,0,38,1
6184,16069,1,0,38,1
6185,16069,1,0,38,1
6186,16069,1,0,38,1
6187,16069,1,0,38,1
6188,16069,1,0,38,1
6189,16069,1,0,38,1
6190,16069,1,0,38,1
6191,16069,1,0,38,1
6192,16069,1,0,38,1
6193,16069,1,0,38,1
6194,16069,1,0,38,1
6195,16069,1,0,38,1
6196,16069,1,0,38,1
6197,16069,1,0,38,1
6198,16069,1,0,38,1
6199,16069,1,0,38,1
6200,16069,1,0,38,1
6201,16069,1,0,38,1
6202,16069,1,0,38,1
6203,16069,1,0,38,1
6204,16069,1,0,38,1
6205,16069,1,0,38,1
6206,16069,1,0,38,1
6207,16069,1,0,38,1
6208,16069,1,0,38,1
6209,16069,1,0,38,1
6210,16069,1,0,38,1
6211,16069,1,0,38,1
6212,16069,1,0,38,1
6213,16069,1,0,38,1
6214,16069,1,0,38,1
6215,16069,1,0,38,1
6216,16069,1,0,38,1
6217,16069,1,0,38,1
6218,16069,1,0,38,1
6219,16069,1,0,38,1
6220,16069,1,0,38,1
6221,16069,1,0,38,1
6222,16069,1,0,38,1
6223,16069,1,0,38,1
6224,16069,1,0,38,1
6225,16069,1,0,38,1
6226,16069,1,0,38,1
6227,16069,1,0,38,1
6228,16069,1,0,38,1
6229,16069,1,0,38,1
6230,16069,1,0,38,1
6231,16069,1,0,38,1
6232,16069,1,0,38,1
6233,16069,1,0,38,1
6234,16069,1,0,38,1
6235,16069,1,0,38,1
6236,16069,1,0,38,1
6237,16069,1,0,38,1
6238,16069,1,0,38,1
6239,16069,1,0,38,1
6240,16069,1,0,38,1
6241,16069,1,0,38,1
6242,16069,1,0,38,1
6243,16069,1,0,38,1
6244,16069,1,0,38,1
6245,16069,1,0,38,1
6246,16069,1,0,38,1
6247,16069,1,0,38,1
6248,16069,1,0,38,1
6249,16069,1,0,38,1
6250,16069,1,0,38,1
6251,16069,1,0,38,1
6252,16069,1,0,38,1
6253,16069,1,0,38,1
6254,16069,1,0,38,1
6255,16069,1,0,38,1
6256,16069,1,0,38,1
6257,16069,1,0,38,1
6258,16069,1,0,38,1
6259,16069,1,0,38,1
6260,16069,1,0,38,1
6261,16069,1,0,38,1
6262,16069,1,0,38,1
6263,16069,1,0,38,1
6264,16069,1,0,38,1
6265,16069,1,0,38,1
6266,16069,1,0,38,1
6267,16069,1,0,38,1
6268,16069,1,0,38,1
6269,16069,1,0,38,1
6270,16069,1,0,38,1
6271,16069,1,0,38,1
6272,16069,1,0,38,1
6273,16069,1,0,38,1
6274,16069,1,0,38,1
6275,16069,1,0,38,1
6276,16069,1,0,38,1
6277,16069,1,0,38,1
6278,16069,1,0,38,1
6279,16069,1,0,38,1
6280,16069,1,0,38,1
6281,16069,1,0,38,1
6282,16069,1,0,38,1
6283,16069,1,0,38,1
6284,16069,1,0,38,1
6285,16069,1,0,38,1
6286,16069,1,0,38,1
6287,16069,1,0,38,1
6288,16069,1,0,38,1
6289,16069,1,0,38,1
6290,16069,1,0,38,1
6291,16069,1,0,38,1
6292,16069,1,0,38,1
6293,16069,1,0,38,1
6294,16069,1,0,38,1
6295,16069,1,0,38,1
6296,16069,1,0,38,1
6297,16069,1,0,38,1
6298,16069,1,0,38,1
6299,16069,1,0,38,1
6300,16069,1,0,38,1
6301,16069,1,0,38,1
6302,16069,1,0,38,1
6303,16069,1,0,38,1
6304,16069,1,0,38,1
6305,16069,1,0,38,1
6306,16069,1,0,38,1
6307,16069,1,0,38,1
6308,16069,1,0,38,1
6309,16069,1,0,38,1
6310,16069,1,0,38,1
6311,16069,1,0,38,1
6312,16069,1,0,38,1
6313,16069,1,0,38,1
6314,16069,1,0,38,1
6315,16069,1,0,38,1
6316,16069,1,0,38,1
6317,16069,1,0,38,1
6318,16069,1,0,38,1
6319,16069,1,0,38,1
6320,16069,1,0,38,1
6321,16069,1,0,38,1
6322,16069,1,0,38,1
6323,16069,1,0,38,1
6324,16069,1,0,38,1
6325,16069,1,0,38,1
6326,16069,1,0,38,1
6327,16069,1,0,38,1
6328,16069,1,0,38,1
6329,16069,1,0,38,1
6330,16069,1,0,38,1
6331,16069,1,0,38,1
6332,16069,1,0,38,1
6333,16069,1,0,38,1
6334,16069,1,0,38,1
6335,16069,1,0,38,1
6336,16069,1,0,38,1
6337,16069,1,0,38,1
6338,16069,1,0,38,1
6339,16069,1,0,38,1
6340,16069,1,0,38,1
6341,16069,1,0,38,1
6342,16069,1,0,38,1
6343,16069,1,0,38,1
6344,16069,1,0,38,1
6345,16069,1,0,38,1
6346,16069,1,0,38,1
6347,16069,1,0,38,1
6348,16069,1,0,38,1
6349,16069,1,0,38,1
6350,16069,1,0,38,1
6351,16069,1,0,38,1
6352,16069,1,0,38,1
6353,16069,1,0,38,1
6354,16069,1,0,38,1
6355,16069,1,0,38,1
6356,16069,1,0,38,1
6357,16069,1,0,38,1
6358,16069,1,0,38,1
6359,16069,1,0,38,1
6360,16069,1,0,38,1
6361,16069,1,0,38,1
6362,16069,1,0,38,1
6363,16069,1,0,38,1
6364,16069,1,0,38,1
6365,16069,1,0,38,1
6366,16069,1,0,38,1
6367,16069,1,0,38,1
6368,16069,1,0,38,1
6369,16069,1,0,38,1
6370,16069,1,0,38,1
6371,16069,1,0,38,1
6372,16069,1,0,38,1
6373,16069,1,0,38,1
6374,16069,1,0,38,1
6375,16069,1,0,38,1
6376,16069,1,0,38,1
6377,16069,1,0,38,1
6378,16069,1,0,38,1
6379,16069,1,0,38,1
6380,16069,1,0,38,1
6381,16069,1,0,38,1
6382,16069,1,0,38,1
6383,16069,1,0,38,1
6384,16069,1,0,38,1
6385,16069,1,0,38,1
6386,16069,1,0,38,1
6387,16069,1,0,38,1
6388,16069,1,0,38,1
6389,16069,1,0,38,1
6390,16069,1,0,38,1
6391,16069,1,0,38,1
6392,16069,1,0,38,1
6393,16069,1,0,38,1
6394,16069,1,0,38,1
6395,16069,1,0,38,1
6396,16069,1,0,38,1
6397,16069,1,0,38,1
6398,16069,1,0,38,1
6399,16069,1,0,38,1
6400,16069,1,0,38,1
6401,16069,1,0,38,1
6402,16069,1,0,38,1
6403,16069,1,0,38,1
6404,16069,1,0,38,1
6405,16069,1,0,38,1
6406,16069,1,0,38,1
6407,16069,1,0,38,1
6408,16069,1,0,38,1
6409,16069,1,0,38,1
6410,16069,1,0,38,1
6411,16069,1,0,38,1
6412,16069,1,0,38,1
6413,16069,1,0,38,1
6414,16069,1,0,38,1
6415,16069,1,0,38,1
6416,16069,1,0,38,1
6417,16069,1,0,38,1
6418,16069,1,0,38,1
6419,16069,1,0,38,1
6420,16069,1,0,38,1
6421,16069,1,0,38,1
6422,16069,1,0,38,1
6423,16069,1,0,38,1
6424,16069,1,0,38,1
6425,16069,1,0,38,1
6426,16069,1,0,38,1
6427,16069,1,0,38,1
6428,16069,1,0,38,1
6429,16069,1,0,38,1
6430,16069,1,0,38,1
6431,16069,1,0,38,1
6432,16069,1,0,38,1
6433,16069,1,0,38,1
6434,16069,1,0,38,1
6435,16069,1,0,38,1
6436,16069,1,0,38,1
6437,16069,1,0,38,1
6438,16069,1,0,38,1
6439,16069,1,0,38,1
6440,16069,1,0,38,1
6441,16069,1,0,38,1
6442,16069,1,0,38,1
6443,16069,1,0,38,1
6444,16069,1,0,38,1
6445,16069,1,0,38,1
6446,16069,1,0,38,1
6447,16069,1,0,38,1
6448,16069,1,0,38,1
6449,16069,1,0,38,1
6450,16069,1,0,38,1
6451,16069,1,0,38,1
6452,16069,1,0,38,1
6453,16069,1,0,38,1
6454,16069,1,0,38,1
6455,16069,1,0,38,1
6456,16069,1,0,38,1
6457,16069,1,0,38,1
6458,16069,1,0,38,1
6459,16069,1,0,38,1
6460,16069,1,0,38,1
6461,16069,1,0,38,1
6462,16069,1,0,38,1
6463,16069,1,0,38,1
6464,16069,1,0,38,1
6465,16069,1,0,38,1
6466,16069,1,0,38,1
6467,16069,1,0,38,1
6468,16069,1,0,38,1
6469,16069,1,0,38,1
6470,16069,1,0,38,1
6471,16069,1,0,38,1
6472,16069,1,0,38,1
6473,16069,1,0,38,1
6474,16069,1,0,38,1
6475,16069,1,0,38,1
6476,16069,1,0,38,1
6477,16069,1,0,38,1
6478,16069,1,0,38,1
6479,16069,1,0,38,1
6480,16069,1,0,38,1
6481,16069,1,0,38,1
6482,16069,1,0,38,1
6483,16069,1,0,38,1
6484,16069,1,0,38,1
6485,16069,1,0,38,1
6486,16069,1,0,38,1
6487,16069,1,0,38,1
6488,16069,1,0,38,1
6489,16069,1,0,38,1
6490,16069,1,0,38,1
6491,16069,1,0,38,1
6492,16069,1,0,38,1
6493,16069,1,0,38,1
6494,16069,1,0,38,1
6495,16069,1,0,38,1
6496,16069,1,0,38,1
6497,16069,1,0,38,1
6498,16069,1,0,38,1
6499,16069,1,0,38,1
6500,16069,1,0,38,1
6501,16069,1,0,38,1
6502,16069,1,0,38,1
6503,16069,1,0,38,1
6504,16069,1,0,38,1
6505,16069,1,0,38,1
6506,16069,1,0,38,1
6507,16069,1,0,38,1
6508,16069,1,0,38,1
6509,16069,1,0,38,1
6510,16069,1,0,38,1
6511,16069,1,0,38,1
6512,16069,1,0,38,1
6513,16069,1,0,38,1
6514,16069,1,0,38,1
6515,16069,1,0,38,1
6516,16069,1,0,38,1
6517,16069,1,0,38,1
6518,16069,1,0,38,1
6519,16069,1,0,38,1
6520,16069,1,0,38,1
6521,16069,1,0,38,1
6522,16069,1,0,38,1
6523,16069,1,0,38,1
6524,16069,1,0,38,1
6525,16069,1,0,38,1
6526,16069,1,0,38,1
6527,16069,1,0,38,1
6528,16069,1,0,38,1
6529,16069,1,0,38,1
6530,16069,1,0,38,1
